,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,2010,Cardano,ADA,cardano,1231,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35952011377.278,37157110715.033,False,,11,,,,2024-08-23T15:03:00.000Z,0.3783362262847478,289845181.8608029,-17.0333,0.10391249,1.90467963,16.66939029,-9.52724043,0.78802745,-17.72434353,13601948311.825676,0.6289,17025130182.81,,2024-08-23T15:03:00.000Z,,,,,,2024-08-23 20:35:30.733576
11,5805,Avalanche,AVAX,avalanche,767,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,404787415.4570134,444790515.4570134,False,,12,,,,2024-08-23T15:03:00.000Z,26.102923537705433,421389318.5674331,23.7421,-1.28659702,5.11725622,30.55299976,-13.05269757,6.94420319,-31.55120453,10566134954.699823,0.4885,18683134084.27,,2024-08-23T15:03:00.000Z,,,,,,2024-08-23 20:35:30.733576
12,5994,Shiba Inu,SHIB,shiba-inu,860,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270313394595.0,589519028706303.9,False,,13,,,,2024-08-23T15:03:00.000Z,1.443524097289193e-05,195211836.17415994,-2.98,-0.30311042,1.80398486,10.4664419,-17.2520173,-14.34555942,-41.62429807,8506258972.022526,0.3933,8509849237.48,,2024-08-23T15:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-23 20:35:30.733576
13,1975,Chainlink,LINK,chainlink,1832,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-08-23T15:03:00.000Z,11.579692454903945,231157709.8277368,-26.7185,-0.68734446,1.12465368,15.3074599,-16.79370539,-13.25278266,-32.50904176,7041610639.679446,0.3256,11579692454.9,,2024-08-23T15:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-08-23 20:35:30.733576
14,6636,Polkadot,DOT,polkadot-new,802,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1484457614.2409143,1484457614.2409143,True,,15,1484457614.2738092,7016907496.1342945,,2024-08-23T15:03:00.000Z,4.726916705915472,120096921.50060152,-1.6803,-0.47028744,1.29488473,10.82927102,-20.71837574,-16.55362862,-35.33361201,7016907495.978804,0.3244,7016907495.98,,2024-08-23T15:03:00.000Z,,,,,,2024-08-23 20:35:30.733576
0,1,Bitcoin,BTC,bitcoin,11649,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19744009.0,19744009.0,False,,1,,,,2024-08-23T15:05:00.000Z,61216.05103586904,27862190694.365765,-19.0911,-0.62644035,0.80949318,5.33579862,-8.27623083,-0.17439842,-11.33763576,1208650262596.6575,55.8994,1285537071753.25,,2024-08-23T15:05:00.000Z,,,,,,2024-08-23 20:36:31.376462
1,1027,Ethereum,ETH,ethereum,9243,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120296142.07746673,120296142.07746673,True,,2,,,,2024-08-23T15:04:00.000Z,2657.979138275925,12448240555.675135,3.2907,-0.69308053,1.90432126,2.87014611,-22.63639525,-19.6010474,-29.13890537,319744636056.9832,14.801,319744636056.98,,2024-08-23T15:04:00.000Z,,,,,,2024-08-23 20:36:31.376462
2,825,Tether USDt,USDT,tether,95277,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,117676046786.11433,120256419986.32834,True,,3,,,,2024-08-23T15:04:00.000Z,1.0001014460133322,47697223959.91238,-11.7584,-0.00148379,-0.02740322,-0.07703931,-0.01550288,0.03808496,0.01518323,117687984551.92548,5.4478,120268619520.71,,2024-08-23T15:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-23 20:36:31.376462
3,1839,BNB,BNB,bnb,2218,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935532.32944745,145935532.32944745,False,,4,,,,2024-08-23T15:04:00.000Z,579.3870280697379,1921934449.7650955,-2.4604,-0.65030737,-1.5429091,12.31157128,-1.30469306,2.20181115,-3.80690956,84553154366.13371,3.9092,84553154366.13,,2024-08-23T15:04:00.000Z,,,,,,2024-08-23 20:36:31.376462
4,5426,Solana,SOL,solana,721,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,465929689.7273297,582885251.7633973,True,,5,,,,2024-08-23T15:04:00.000Z,143.79478401073948,1501899906.6159737,-16.6523,-1.1318202,0.45843219,3.75157234,-20.8029272,11.915506,-14.70732684,66998259098.53223,3.0977,83815858880.36,,2024-08-23T15:04:00.000Z,,,,,,2024-08-23 20:36:31.376462
5,3408,USDC,USDC,usd-coin,21644,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34514652355.109566,34514652355.109566,False,,6,,,,2024-08-23T15:04:00.000Z,0.9998056332438219,5794027938.768239,5.7146,-0.00898233,-0.01514775,-0.07241111,-0.02006562,-0.03195458,-0.0166607,34507943854.09069,1.596,34507943854.09,,2024-08-23T15:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-23 20:36:31.376462
6,52,XRP,XRP,xrp,1370,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56180094752.0,99987315360.0,False,,7,,,,2024-08-23T15:05:00.000Z,0.5973105105960667,1019967377.0407839,-4.4417,-0.25587864,-0.35424232,7.01049495,-4.92371807,25.2170634,10.92954112,33556961081.652523,1.5515,59731051059.61,,2024-08-23T15:05:00.000Z,,,,,,2024-08-23 20:36:31.376462
7,11419,Toncoin,TON,toncoin,523,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2525851672.05013,5110948217.711648,True,,8,3414166606.0,22363707218.31553,,2024-08-23T15:04:00.000Z,6.550268278945122,201242046.1073161,-35.9847,-0.69517048,0.51496882,1.91922596,-6.0171986,-10.63161614,1.66544952,16545006084.750463,0.7649,33478081985.81,,2024-08-23T15:04:00.000Z,,,,,,2024-08-23 20:36:31.376462
