Title,Price,Date
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 128GB Storage)","29,999",2024-08-22
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 128GB Storage)","29,999",2024-08-22
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 128GB Storage)","29,999
                                 
                                  ",2024-08-22
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 128GB Storage)","29,999
                                 
                                  ",2024-08-22
